time_id,ano_fundacao,abreviacao,cidade,nome,arena,treinador
1610612737,1949,ATL,Atlanta,Hawks,State Farm Arena,Lloyd Pierce
1610612738,1946,BOS,Boston,Celtics,TD Garden,Brad Stevens
1610612740,2002,NOP,New Orleans,Pelicans,Smoothie King Center,Alvin Gentry
1610612741,1966,CHI,Chicago,Bulls,United Center,Jim Boylen
1610612742,1980,DAL,Dallas,Mavericks,American Airlines Center,Rick Carlisle
1610612743,1976,DEN,Denver,Nuggets,Pepsi Center,Michael Malone
1610612745,1967,HOU,Houston,Rockets,Toyota Center,Mike D'Antoni
1610612746,1970,LAC,Los Angeles,Clippers,Staples Center,Doc Rivers
1610612747,1948,LAL,Los Angeles,Lakers,Staples Center,Frank Vogel
1610612748,1988,MIA,Miami,Heat,AmericanAirlines Arena,Erik Spoelstra
1610612749,1968,MIL,Milwaukee,Bucks,Fiserv Forum,Mike Budenholzer
1610612750,1989,MIN,Minnesota,Timberwolves,Target Center,Ryan Saunders
1610612751,1976,BKN,Brooklyn,Nets,Barclays Center,Kenny Atkinson
1610612752,1946,NYK,New York,Knicks,Madison Square Garden,David Fizdale
1610612753,1989,ORL,Orlando,Magic,Amway Center,Steve Clifford
1610612754,1976,IND,Indiana,Pacers,Bankers Life Fieldhouse,Nate McMillan
1610612755,1949,PHI,Philadelphia,76ers,Wells Fargo Center,Brett Brown
1610612756,1968,PHX,Phoenix,Suns,Talking Stick Resort Arena,Monty Williams
1610612757,1970,POR,Portland,Trail Blazers,Moda Center,Terry Stotts
1610612758,1948,SAC,Sacramento,Kings,Golden 1 Center,Luke Walton
1610612759,1976,SAS,San Antonio,Spurs,AT&T Center,Gregg Popovich
1610612760,1967,OKC,Oklahoma City,Thunder,Chesapeake Energy Arena,Billy Donovan
1610612761,1995,TOR,Toronto,Raptors,Scotiabank Arena,Nick Nurse
1610612762,1974,UTA,Utah,Jazz,Vivint Smart Home Arena,Quin Snyder
1610612763,1995,MEM,Memphis,Grizzlies,FedExForum,Taylor Jenkins
1610612764,1961,WAS,Washington,Wizards,Capital One Arena,Scott Brooks
1610612765,1948,DET,Detroit,Pistons,Little Caesars Arena,Dwane Casey
1610612766,1988,CHA,Charlotte,Hornets,Spectrum Center,James Borrego
1610612739,1970,CLE,Cleveland,Cavaliers,Quicken Loans Arena,John Beilein
1610612744,1946,GSW,Golden State,Warriors,Chase Center,Steve Kerr
